"recipient_iso","year","emergency_commitments"
"BLR",2019,1.128818
"BLR",2020,19.115079
"BLR",2021,2.028984
"BLR",2022,2.823312
"BLR",2023,0.207486
"BLR",2024,0.431767
"BLZ",2008,0.378501
"BLZ",2009,0.53618
"BLZ",2010,0.755937
"BLZ",2011,0.273859
"BLZ",2012,1.059065
"BLZ",2013,3.411381
"BLZ",2014,3.007
"BLZ",2015,0.00379
"BLZ",2016,2.530271
"BLZ",2017,1.472933
"BLZ",2018,1.797399
"BLZ",2019,1.520568
"BLZ",2020,1.747114
"BLZ",2021,3.523824
"BLZ",2022,9.89080200000001
"BLZ",2023,4.46075
"BLZ",2024,4.081893
"BOL",2008,25.542888
"BOL",2009,7.83714
"BOL",2010,7.24071
"BOL",2011,3.276817
"BOL",2012,1.630885
"BOL",2013,2.096561
"BOL",2014,6.545435
"BOL",2015,360.5988
"BOL",2016,124.637865
"BOL",2017,13.96316
"BOL",2018,1.618175
"BOL",2019,5.630904
"BOL",2020,31.186773
"BOL",2021,3.612878
"BOL",2022,200.906273
"BOL",2023,3.795682
"BOL",2024,48.960765
"BRA",2008,5.190128
"BRA",2009,1.205961
"BRA",2010,1.407744
"BRA",2011,68.054738
"BRA",2012,166.819334
"BRA",2013,0.594917
"BRA",2014,25.624529
"BRA",2015,3.417247
"BRA",2016,3.30834
"BRA",2017,4.53306
"BRA",2018,16.489062
"BRA",2019,107.213294
"BRA",2020,51.531258
"BRA",2021,33.113793
"BRA",2022,273.300451
"BRA",2023,188.129132
"BRA",2024,360.929835
"BRB",2008,0.133128
"BRB",2009,0.347072
"BRB",2010,34.371283
"BRB",2011,0
"BRB",2012,0
"BRB",2013,0
"BRB",2014,0
"BRB",2015,0
"BRB",2016,0
"BRB",2017,0
"BRB",2018,0
"BRB",2019,0
"BRB",2020,0
"BRB",2021,0
"BRB",2022,0
"BRB",2023,0
"BRB",2024,0
"BTN",2008,0.499954
"BTN",2009,1.143243
"BTN",2010,0.753644
"BTN",2011,1.067357
"BTN",2012,18.439485
"BTN",2013,0.129715
"BTN",2014,0.554727
"BTN",2015,5.899079
"BTN",2016,29.610843
"BTN",2017,7.52756
"BTN",2018,0.197282
"BTN",2019,0.415359
"BTN",2020,1.463651
"BTN",2021,0.312599
"BTN",2022,6.268305
"BTN",2023,0.952111
"BTN",2024,40.884217
